,x,s,n,t,p.1,f,c,n.1,k,e,e.1,s.1,s.2,w,w.1,p.2,w.2,o,p.3,k.1,s.3,u,Predict
6385,f,s,e,f,s,f,c,n,b,t,?,k,k,p,p,p,w,o,e,w,v,d,poisonous
6386,x,y,e,f,f,f,c,n,b,t,?,k,s,w,p,p,w,o,e,w,v,p,poisonous
6387,f,s,n,f,y,f,c,n,b,t,?,k,k,p,p,p,w,o,e,w,v,l,poisonous
6388,x,s,e,f,s,f,c,n,b,t,?,k,s,p,w,p,w,o,e,w,v,p,poisonous
6389,k,y,n,f,y,f,c,n,b,t,?,k,k,w,w,p,w,o,e,w,v,p,poisonous
6390,x,s,n,f,s,f,c,n,b,t,?,k,k,w,p,p,w,o,e,w,v,p,poisonous
6391,x,y,e,f,f,f,c,n,b,t,?,k,k,w,p,p,w,o,e,w,v,d,poisonous
6392,f,y,n,f,y,f,c,n,b,t,?,k,s,w,w,p,w,o,e,w,v,d,poisonous
6393,f,s,e,f,y,f,c,n,b,t,?,s,k,p,p,p,w,o,e,w,v,d,poisonous
6394,f,s,n,f,f,f,c,n,b,t,?,s,s,w,w,p,w,o,e,w,v,p,poisonous
6395,x,s,w,f,n,f,w,b,g,e,?,k,s,w,w,p,w,t,p,w,s,g,edible
6396,f,y,n,f,y,f,c,n,b,t,?,s,s,w,p,p,w,o,e,w,v,d,poisonous
6397,f,s,n,f,f,f,c,n,b,t,?,s,k,w,p,p,w,o,e,w,v,l,poisonous
6398,x,y,e,f,y,f,c,n,b,t,?,s,s,p,p,p,w,o,e,w,v,l,poisonous
6399,f,s,e,f,s,f,c,n,b,t,?,s,k,w,p,p,w,o,e,w,v,l,poisonous
6400,x,s,n,f,s,f,c,n,b,t,?,s,s,w,p,p,w,o,e,w,v,p,poisonous
6401,x,y,e,f,f,f,c,n,b,t,?,s,k,p,w,p,w,o,e,w,v,l,poisonous
6402,k,f,g,f,n,f,w,b,g,e,?,k,k,w,w,p,w,t,p,w,s,g,edible
6403,f,s,e,f,s,f,c,n,b,t,?,k,s,w,p,p,w,o,e,w,v,l,poisonous
6404,f,y,e,f,s,f,c,n,b,t,?,s,k,w,w,p,w,o,e,w,v,p,poisonous
6405,b,f,w,f,n,f,w,b,w,e,?,s,k,w,w,p,w,t,p,w,s,g,edible
6406,f,s,n,f,y,f,c,n,b,t,?,s,k,p,w,p,w,o,e,w,v,l,poisonous
6407,x,y,e,f,s,f,c,n,b,t,?,k,s,w,w,p,w,o,e,w,v,l,poisonous
6408,x,y,e,f,f,f,c,n,b,t,?,s,k,p,p,p,w,o,e,w,v,d,poisonous
6409,f,s,n,f,s,f,c,n,b,t,?,k,s,w,w,p,w,o,e,w,v,p,poisonous
6410,x,s,n,f,f,f,c,n,b,t,?,k,k,p,p,p,w,o,e,w,v,d,poisonous
6411,f,s,e,f,s,f,c,n,b,t,?,k,k,w,w,p,w,o,e,w,v,p,poisonous
6412,f,s,e,f,s,f,c,n,b,t,?,s,k,p,p,p,w,o,e,w,v,l,poisonous
6413,f,s,e,f,s,f,c,n,b,t,?,s,s,p,w,p,w,o,e,w,v,l,poisonous
6414,x,y,e,f,m,f,c,b,w,e,c,k,y,c,c,p,w,n,n,w,c,d,poisonous
6415,f,y,n,f,y,f,c,n,b,t,?,s,k,p,p,p,w,o,e,w,v,d,poisonous
6416,f,y,e,f,y,f,c,n,b,t,?,s,s,w,w,p,w,o,e,w,v,d,poisonous
6417,x,s,e,f,s,f,c,n,b,t,?,k,k,p,w,p,w,o,e,w,v,p,poisonous
6418,f,s,e,f,y,f,c,n,b,t,?,s,s,p,w,p,w,o,e,w,v,p,poisonous
6419,f,y,e,f,f,f,c,n,b,t,?,k,k,w,w,p,w,o,e,w,v,p,poisonous
6420,f,y,e,f,s,f,c,n,b,t,?,s,s,p,w,p,w,o,e,w,v,l,poisonous
6421,x,s,e,f,f,f,c,n,b,t,?,k,k,w,w,p,w,o,e,w,v,l,poisonous
6422,f,s,e,f,s,f,c,n,b,t,?,s,k,p,w,p,w,o,e,w,v,p,poisonous
6423,x,s,n,f,n,a,c,b,n,e,?,s,s,o,o,p,n,o,p,y,c,l,edible
6424,f,y,n,f,s,f,c,n,b,t,?,s,k,p,w,p,w,o,e,w,v,d,poisonous
6425,f,y,e,f,s,f,c,n,b,t,?,s,s,w,p,p,w,o,e,w,v,l,poisonous
6426,f,y,e,f,s,f,c,n,b,t,?,s,s,w,w,p,w,o,e,w,v,l,poisonous
6427,x,s,n,f,f,f,c,n,b,t,?,k,s,p,w,p,w,o,e,w,v,p,poisonous
6428,x,s,e,f,y,f,c,n,b,t,?,k,s,p,p,p,w,o,e,w,v,d,poisonous
6429,x,y,e,f,f,f,c,n,b,t,?,k,k,p,p,p,w,o,e,w,v,d,poisonous
6430,x,s,e,f,s,f,c,n,b,t,?,s,k,w,p,p,w,o,e,w,v,p,poisonous
6431,x,y,e,f,y,f,c,n,b,t,?,s,s,p,p,p,w,o,e,w,v,p,poisonous
6432,f,y,e,f,f,f,c,n,b,t,?,s,k,w,w,p,w,o,e,w,v,p,poisonous
6433,x,s,n,f,n,a,c,b,n,e,?,s,s,o,o,p,n,o,p,o,v,l,edible
6434,f,s,n,f,s,f,c,n,b,t,?,k,k,p,p,p,w,o,e,w,v,p,poisonous
6435,x,y,e,f,f,f,c,n,b,t,?,s,s,w,w,p,w,o,e,w,v,p,poisonous
6436,f,s,n,f,f,f,c,n,b,t,?,s,s,w,p,p,w,o,e,w,v,d,poisonous
6437,f,y,e,f,y,f,c,n,b,t,?,k,k,w,w,p,w,o,e,w,v,p,poisonous
6438,x,y,e,f,f,f,c,n,b,t,?,k,s,p,w,p,w,o,e,w,v,d,poisonous
6439,x,s,n,f,s,f,c,n,b,t,?,k,s,p,w,p,w,o,e,w,v,d,poisonous
6440,x,s,n,f,f,f,c,n,b,t,?,s,k,w,p,p,w,o,e,w,v,l,poisonous
6441,x,s,n,f,y,f,c,n,b,t,?,s,s,w,w,p,w,o,e,w,v,l,poisonous
6442,x,y,e,f,s,f,c,n,b,t,?,s,s,p,w,p,w,o,e,w,v,d,poisonous
6443,f,s,n,f,y,f,c,n,b,t,?,k,s,p,p,p,w,o,e,w,v,l,poisonous
6444,f,s,n,f,y,f,c,n,b,t,?,s,s,w,p,p,w,o,e,w,v,l,poisonous
6445,k,y,e,f,y,f,c,n,b,t,?,s,s,p,p,p,w,o,e,w,v,l,poisonous
6446,x,s,n,f,y,f,c,n,b,t,?,k,s,w,p,p,w,o,e,w,v,d,poisonous
6447,f,y,n,f,y,f,c,n,b,t,?,s,k,p,w,p,w,o,e,w,v,p,poisonous
6448,k,s,w,f,n,f,w,b,g,e,?,s,k,w,w,p,w,t,p,w,n,g,edible
6449,f,s,e,f,y,f,c,n,b,t,?,s,k,w,w,p,w,o,e,w,v,l,poisonous
6450,x,s,e,f,y,f,c,n,b,t,?,s,k,p,w,p,w,o,e,w,v,l,poisonous
6451,f,y,n,f,f,f,c,n,b,t,?,s,s,w,p,p,w,o,e,w,v,d,poisonous
6452,f,y,n,f,s,f,c,n,b,t,?,k,k,p,p,p,w,o,e,w,v,p,poisonous
6453,f,y,e,f,y,f,c,n,b,t,?,k,k,p,w,p,w,o,e,w,v,d,poisonous
6454,x,s,n,f,f,f,c,n,b,t,?,k,k,p,p,p,w,o,e,w,v,p,poisonous
6455,f,y,n,f,s,f,c,n,b,t,?,k,k,w,p,p,w,o,e,w,v,l,poisonous
6456,x,s,n,f,s,f,c,n,b,t,?,s,k,w,p,p,w,o,e,w,v,l,poisonous
6457,k,y,n,f,y,f,c,n,b,t,?,k,k,p,p,p,w,o,e,w,v,l,poisonous
6458,f,s,e,f,s,f,c,n,b,t,?,k,s,w,p,p,w,o,e,w,v,d,poisonous
6459,f,y,e,f,s,f,c,n,b,t,?,k,k,p,p,p,w,o,e,w,v,l,poisonous
6460,f,y,e,f,f,f,c,n,b,t,?,s,s,w,w,p,w,o,e,w,v,l,poisonous
6461,f,y,e,f,s,f,c,n,b,t,?,k,k,w,p,p,w,o,e,w,v,p,poisonous
6462,f,y,n,f,f,f,c,n,b,t,?,s,s,w,w,p,w,o,e,w,v,p,poisonous
6463,f,y,n,f,f,f,c,n,b,t,?,s,s,w,p,p,w,o,e,w,v,l,poisonous
6464,k,y,n,f,y,f,c,n,b,t,?,k,s,p,w,p,w,o,e,w,v,l,poisonous
6465,k,y,n,f,y,f,c,n,b,t,?,k,s,p,w,p,w,o,e,w,v,p,poisonous
6466,f,s,e,f,y,f,c,n,b,t,?,k,s,w,p,p,w,o,e,w,v,p,poisonous
6467,x,s,e,f,y,f,c,n,b,t,?,k,k,w,p,p,w,o,e,w,v,d,poisonous
6468,k,s,n,f,f,f,c,n,b,t,?,k,s,p,w,p,w,o,e,w,v,l,poisonous
6469,x,s,e,f,f,f,c,n,b,t,?,s,s,p,p,p,w,o,e,w,v,p,poisonous
6470,f,s,n,f,f,f,c,n,b,t,?,k,k,p,w,p,w,o,e,w,v,d,poisonous
6471,x,s,e,f,s,f,c,n,b,t,?,s,k,w,w,p,w,o,e,w,v,l,poisonous
6472,f,s,n,f,y,f,c,n,b,t,?,s,k,p,w,p,w,o,e,w,v,p,poisonous
6473,x,s,n,f,f,f,c,n,b,t,?,k,k,w,p,p,w,o,e,w,v,l,poisonous
6474,f,y,e,f,y,f,c,n,b,t,?,s,k,w,p,p,w,o,e,w,v,d,poisonous
6475,x,s,n,f,f,f,c,n,b,t,?,k,s,w,p,p,w,o,e,w,v,l,poisonous
6476,x,s,e,f,y,f,c,n,b,t,?,s,s,w,w,p,w,o,e,w,v,p,poisonous
6477,x,s,e,f,s,f,c,n,b,t,?,s,k,w,w,p,w,o,e,w,v,d,poisonous
6478,x,s,n,f,s,f,c,n,b,t,?,k,k,p,p,p,w,o,e,w,v,p,poisonous
6479,x,y,e,f,s,f,c,n,b,t,?,s,s,w,w,p,w,o,e,w,v,d,poisonous
6480,f,y,e,f,y,f,c,n,b,t,?,s,k,p,w,p,w,o,e,w,v,p,poisonous
6481,f,s,e,f,s,f,c,n,b,t,?,k,s,p,w,p,w,o,e,w,v,d,poisonous
6482,x,s,e,f,y,f,c,n,b,t,?,k,k,w,w,p,w,o,e,w,v,d,poisonous
6483,f,y,e,f,y,f,c,n,b,t,?,k,k,w,w,p,w,o,e,w,v,l,poisonous
6484,f,s,e,f,y,f,c,n,b,t,?,k,s,w,w,p,w,o,e,w,v,p,poisonous
6485,f,s,e,f,s,f,c,n,b,t,?,s,k,p,w,p,w,o,e,w,v,l,poisonous
6486,f,y,n,f,f,f,c,n,b,t,?,k,k,w,p,p,w,o,e,w,v,d,poisonous
6487,f,s,n,f,s,f,c,n,b,t,?,s,k,w,w,p,w,o,e,w,v,p,poisonous
6488,x,s,e,f,f,f,c,n,b,t,?,s,k,w,p,p,w,o,e,w,v,p,poisonous
6489,f,y,n,f,s,f,c,n,b,t,?,k,k,p,p,p,w,o,e,w,v,l,poisonous
6490,f,s,n,f,s,f,c,n,b,t,?,s,k,p,p,p,w,o,e,w,v,d,poisonous
6491,f,y,n,f,f,f,c,n,b,t,?,k,s,p,p,p,w,o,e,w,v,l,poisonous
6492,f,s,e,f,s,f,c,n,b,t,?,k,k,p,w,p,w,o,e,w,v,l,poisonous
6493,f,y,e,f,f,f,c,n,b,t,?,s,k,p,w,p,w,o,e,w,v,p,poisonous
6494,f,y,n,f,y,f,c,n,b,t,?,k,s,w,p,p,w,o,e,w,v,d,poisonous
6495,f,s,e,f,y,f,c,n,b,t,?,k,k,w,p,p,w,o,e,w,v,d,poisonous
6496,f,s,e,f,f,f,c,n,b,t,?,s,k,w,p,p,w,o,e,w,v,d,poisonous
6497,f,y,n,f,s,f,c,n,b,t,?,k,k,p,p,p,w,o,e,w,v,d,poisonous
6498,f,s,e,f,f,f,c,n,b,t,?,k,s,w,w,p,w,o,e,w,v,d,poisonous
6499,f,s,n,f,f,f,c,n,b,t,?,k,s,p,p,p,w,o,e,w,v,d,poisonous
6500,k,y,e,f,s,f,c,n,b,t,?,s,s,p,p,p,w,o,e,w,v,d,poisonous
6501,f,y,e,f,f,f,c,n,b,t,?,s,k,w,w,p,w,o,e,w,v,d,poisonous
6502,f,s,e,f,f,f,c,n,b,t,?,k,k,w,p,p,w,o,e,w,v,d,poisonous
6503,f,y,e,f,y,f,c,n,b,t,?,s,s,w,p,p,w,o,e,w,v,d,poisonous
6504,f,y,n,f,s,f,c,n,b,t,?,k,s,w,p,p,w,o,e,w,v,l,poisonous
6505,f,y,e,f,f,f,c,n,b,t,?,s,s,p,p,p,w,o,e,w,v,p,poisonous
6506,f,s,n,f,s,f,c,n,b,t,?,s,k,p,p,p,w,o,e,w,v,p,poisonous
6507,x,y,e,f,y,f,c,n,b,t,?,s,s,w,w,p,w,o,e,w,v,d,poisonous
6508,x,f,w,f,n,f,w,b,p,e,?,k,s,w,w,p,w,t,p,w,n,g,edible
6509,x,s,e,f,s,f,c,n,b,t,?,k,s,w,w,p,w,o,e,w,v,d,poisonous
6510,x,s,e,f,f,f,c,n,b,t,?,s,s,p,w,p,w,o,e,w,v,l,poisonous
6511,f,y,n,f,y,f,c,n,b,t,?,k,k,p,w,p,w,o,e,w,v,l,poisonous
6512,x,s,e,f,y,f,c,n,b,t,?,s,s,p,p,p,w,o,e,w,v,d,poisonous
6513,x,s,n,f,y,f,c,n,b,t,?,s,k,w,w,p,w,o,e,w,v,d,poisonous
6514,x,s,n,f,f,f,c,n,b,t,?,k,s,w,w,p,w,o,e,w,v,p,poisonous
6515,x,s,n,f,y,f,c,n,b,t,?,k,k,w,w,p,w,o,e,w,v,l,poisonous
6516,x,f,g,f,n,f,w,b,p,e,?,s,k,w,w,p,w,t,p,w,n,g,edible
6517,f,y,e,f,f,f,c,n,b,t,?,k,s,w,p,p,w,o,e,w,v,l,poisonous
6518,f,y,e,f,f,f,c,n,b,t,?,s,k,w,p,p,w,o,e,w,v,l,poisonous
6519,x,y,e,f,y,f,c,n,b,t,?,s,s,w,w,p,w,o,e,w,v,p,poisonous
6520,x,s,n,f,y,f,c,n,b,t,?,k,k,p,w,p,w,o,e,w,v,p,poisonous
6521,k,s,e,f,y,f,c,n,b,t,?,k,s,p,p,p,w,o,e,w,v,p,poisonous
6522,k,y,e,f,f,f,c,n,b,t,?,k,s,w,w,p,w,o,e,w,v,d,poisonous
6523,f,y,e,f,s,f,c,n,b,t,?,k,k,p,p,p,w,o,e,w,v,d,poisonous
6524,x,s,n,f,f,f,c,n,b,t,?,k,k,w,w,p,w,o,e,w,v,l,poisonous
6525,f,s,n,f,s,f,c,n,b,t,?,k,s,w,w,p,w,o,e,w,v,l,poisonous
6526,x,s,e,f,s,f,c,n,b,t,?,k,s,w,w,p,w,o,e,w,v,p,poisonous
6527,f,y,n,f,y,f,c,n,b,t,?,k,k,w,w,p,w,o,e,w,v,d,poisonous
6528,x,s,n,f,s,f,c,n,b,t,?,k,s,w,w,p,w,o,e,w,v,p,poisonous
6529,k,f,w,f,n,f,w,b,p,e,?,s,k,w,w,p,w,t,p,w,n,g,edible
6530,k,y,n,f,f,f,c,n,b,t,?,s,k,p,w,p,w,o,e,w,v,d,poisonous
6531,f,s,e,f,f,f,c,n,b,t,?,s,k,p,w,p,w,o,e,w,v,d,poisonous
6532,x,y,e,f,f,f,c,n,b,t,?,k,s,p,p,p,w,o,e,w,v,d,poisonous
6533,x,s,n,f,s,f,c,n,b,t,?,s,s,p,p,p,w,o,e,w,v,l,poisonous
6534,x,s,n,f,y,f,c,n,b,t,?,s,s,w,p,p,w,o,e,w,v,d,poisonous
6535,f,y,e,f,y,f,c,n,b,t,?,k,s,w,p,p,w,o,e,w,v,l,poisonous
6536,f,y,n,f,s,f,c,n,b,t,?,s,s,w,p,p,w,o,e,w,v,l,poisonous
6537,x,y,e,f,y,f,c,n,b,t,?,s,s,w,w,p,w,o,e,w,v,l,poisonous
6538,f,s,e,f,y,f,c,n,b,t,?,s,k,p,p,p,w,o,e,w,v,p,poisonous
6539,x,s,e,f,s,f,c,n,b,t,?,s,k,p,w,p,w,o,e,w,v,d,poisonous
6540,x,s,n,f,s,f,c,n,b,t,?,k,s,p,w,p,w,o,e,w,v,p,poisonous
6541,f,y,n,f,f,f,c,n,b,t,?,k,k,w,p,p,w,o,e,w,v,l,poisonous
6542,f,y,e,f,s,f,c,n,b,t,?,s,k,w,p,p,w,o,e,w,v,l,poisonous
6543,f,y,n,f,s,f,c,n,b,t,?,k,s,w,w,p,w,o,e,w,v,l,poisonous
6544,f,y,n,f,f,f,c,n,b,t,?,s,s,w,w,p,w,o,e,w,v,d,poisonous
6545,f,s,n,f,y,f,c,n,b,t,?,s,k,p,p,p,w,o,e,w,v,p,poisonous
6546,f,y,e,f,f,f,c,n,b,t,?,k,s,p,w,p,w,o,e,w,v,p,poisonous
6547,f,y,e,f,s,f,c,n,b,t,?,k,s,w,p,p,w,o,e,w,v,l,poisonous
6548,x,y,e,f,s,f,c,n,b,t,?,k,s,w,p,p,w,o,e,w,v,p,poisonous
6549,k,s,e,f,f,f,c,n,b,t,?,s,k,p,p,p,w,o,e,w,v,p,poisonous
6550,f,y,e,f,s,f,c,n,b,t,?,s,s,p,w,p,w,o,e,w,v,p,poisonous
6551,f,y,n,f,y,f,c,n,b,t,?,s,s,w,p,p,w,o,e,w,v,p,poisonous
6552,f,s,n,f,s,f,c,n,b,t,?,k,k,p,p,p,w,o,e,w,v,d,poisonous
6553,f,s,e,f,y,f,c,n,b,t,?,s,k,w,w,p,w,o,e,w,v,p,poisonous
6554,k,s,e,f,f,f,c,n,b,t,?,s,k,w,p,p,w,o,e,w,v,p,poisonous
6555,f,y,e,f,s,f,c,n,b,t,?,s,s,w,w,p,w,o,e,w,v,p,poisonous
6556,f,s,n,f,s,f,c,n,b,t,?,k,k,p,w,p,w,o,e,w,v,p,poisonous
6557,x,s,n,f,n,a,c,b,n,e,?,s,s,o,o,p,o,o,p,b,v,l,edible
6558,x,s,n,f,y,f,c,n,b,t,?,s,s,p,w,p,w,o,e,w,v,l,poisonous
6559,k,s,n,f,y,f,c,n,b,t,?,s,s,p,w,p,w,o,e,w,v,l,poisonous
6560,f,s,n,f,f,f,c,n,b,t,?,s,k,w,p,p,w,o,e,w,v,d,poisonous
6561,f,s,n,f,y,f,c,n,b,t,?,k,s,w,w,p,w,o,e,w,v,d,poisonous
6562,x,s,n,f,y,f,c,n,b,t,?,s,s,w,p,p,w,o,e,w,v,p,poisonous
6563,f,s,n,f,y,f,c,n,b,t,?,k,k,w,w,p,w,o,e,w,v,d,poisonous
6564,f,y,e,f,f,f,c,n,b,t,?,k,s,p,p,p,w,o,e,w,v,p,poisonous
6565,f,y,e,f,y,f,c,n,b,t,?,s,k,p,p,p,w,o,e,w,v,d,poisonous
6566,f,s,n,f,f,f,c,n,b,t,?,s,s,p,w,p,w,o,e,w,v,l,poisonous
6567,x,s,e,f,f,f,c,n,b,t,?,s,k,w,p,p,w,o,e,w,v,l,poisonous
6568,x,s,n,f,s,f,c,n,b,t,?,s,k,w,w,p,w,o,e,w,v,p,poisonous
6569,x,s,e,f,y,f,c,n,b,t,?,s,s,p,p,p,w,o,e,w,v,p,poisonous
6570,x,s,e,f,s,f,c,n,b,t,?,k,k,p,p,p,w,o,e,w,v,d,poisonous
6571,f,y,e,f,f,f,c,n,b,t,?,k,s,p,w,p,w,o,e,w,v,l,poisonous
6572,x,s,e,f,y,f,c,n,b,t,?,k,k,p,w,p,w,o,e,w,v,p,poisonous
6573,k,s,e,f,y,f,c,n,b,t,?,k,s,p,w,p,w,o,e,w,v,l,poisonous
6574,x,y,e,f,f,f,c,n,b,t,?,s,s,w,p,p,w,o,e,w,v,p,poisonous
6575,f,s,n,f,f,f,c,n,b,t,?,s,s,w,p,p,w,o,e,w,v,p,poisonous
6576,f,s,n,f,y,f,c,n,b,t,?,s,k,p,p,p,w,o,e,w,v,l,poisonous
6577,x,s,n,f,f,f,c,n,b,t,?,s,s,w,p,p,w,o,e,w,v,d,poisonous
6578,k,y,e,f,y,f,c,n,b,t,?,s,k,w,w,p,w,o,e,w,v,p,poisonous
6579,x,s,e,f,y,f,c,n,b,t,?,k,k,p,w,p,w,o,e,w,v,l,poisonous
6580,f,y,n,f,s,f,c,n,b,t,?,s,s,p,w,p,w,o,e,w,v,d,poisonous
6581,f,y,e,f,s,f,c,n,b,t,?,k,s,w,w,p,w,o,e,w,v,d,poisonous
6582,f,y,n,f,s,f,c,n,b,t,?,s,s,p,p,p,w,o,e,w,v,p,poisonous
6583,f,s,n,f,s,f,c,n,b,t,?,k,k,p,p,p,w,o,e,w,v,l,poisonous
6584,f,s,e,f,y,f,c,n,b,t,?,s,s,w,p,p,w,o,e,w,v,p,poisonous
6585,k,y,n,f,y,f,c,n,b,t,?,k,k,w,p,p,w,o,e,w,v,p,poisonous
6586,f,y,e,f,y,f,c,n,b,t,?,s,k,w,w,p,w,o,e,w,v,l,poisonous
6587,f,s,e,f,s,f,c,n,b,t,?,s,s,p,w,p,w,o,e,w,v,p,poisonous
6588,f,s,n,f,f,f,c,n,b,t,?,s,s,w,w,p,w,o,e,w,v,d,poisonous
6589,x,s,n,f,y,f,c,n,b,t,?,s,s,w,p,p,w,o,e,w,v,l,poisonous
6590,f,y,n,f,s,f,c,n,b,t,?,k,s,p,w,p,w,o,e,w,v,d,poisonous
6591,f,y,e,f,s,f,c,n,b,t,?,k,k,w,w,p,w,o,e,w,v,d,poisonous
6592,x,y,e,f,s,f,c,n,b,t,?,k,k,p,p,p,w,o,e,w,v,d,poisonous
6593,f,s,e,f,s,f,c,n,b,t,?,k,s,w,w,p,w,o,e,w,v,p,poisonous
6594,x,s,n,f,s,f,c,n,b,t,?,k,k,w,p,p,w,o,e,w,v,l,poisonous
6595,f,s,n,f,y,f,c,n,b,t,?,k,k,p,p,p,w,o,e,w,v,p,poisonous
6596,f,s,n,f,s,f,c,n,b,t,?,s,k,w,w,p,w,o,e,w,v,l,poisonous
6597,f,s,e,f,y,f,c,n,b,t,?,s,s,p,p,p,w,o,e,w,v,p,poisonous
6598,x,s,g,f,n,f,w,b,p,e,?,s,k,w,w,p,w,t,p,w,n,g,edible
6599,k,y,n,f,y,f,c,n,b,t,?,k,k,p,w,p,w,o,e,w,v,p,poisonous
6600,x,y,e,f,s,f,c,n,b,t,?,k,s,w,w,p,w,o,e,w,v,p,poisonous
6601,x,s,n,f,s,f,c,n,b,t,?,s,s,w,w,p,w,o,e,w,v,p,poisonous
6602,x,s,n,f,s,f,c,n,b,t,?,s,s,w,p,p,w,o,e,w,v,d,poisonous
6603,f,y,e,f,s,f,c,n,b,t,?,k,k,p,w,p,w,o,e,w,v,l,poisonous
6604,k,y,n,f,f,f,c,n,b,t,?,s,s,p,p,p,w,o,e,w,v,l,poisonous
6605,x,s,e,f,f,f,c,n,b,t,?,k,s,p,w,p,w,o,e,w,v,d,poisonous
6606,x,s,n,f,s,f,c,n,b,t,?,s,k,w,w,p,w,o,e,w,v,d,poisonous
6607,k,y,n,f,y,f,c,n,b,t,?,k,s,p,p,p,w,o,e,w,v,d,poisonous
6608,x,y,e,f,f,f,c,n,b,t,?,k,k,p,w,p,w,o,e,w,v,l,poisonous
6609,k,s,n,f,f,f,c,n,b,t,?,k,s,p,w,p,w,o,e,w,v,p,poisonous
6610,x,s,n,f,f,f,c,n,b,t,?,s,k,w,w,p,w,o,e,w,v,p,poisonous
6611,x,y,e,f,f,f,c,n,b,t,?,s,k,p,w,p,w,o,e,w,v,d,poisonous
6612,f,s,e,f,y,f,c,n,b,t,?,s,k,w,w,p,w,o,e,w,v,d,poisonous
6613,f,s,n,f,s,f,c,n,b,t,?,s,k,w,p,p,w,o,e,w,v,l,poisonous
6614,f,s,n,f,f,f,c,n,b,t,?,k,s,p,p,p,w,o,e,w,v,p,poisonous
6615,f,s,e,f,y,f,c,n,b,t,?,k,s,p,w,p,w,o,e,w,v,p,poisonous
6616,x,y,e,f,s,f,c,n,b,t,?,k,s,w,p,p,w,o,e,w,v,l,poisonous
6617,x,s,e,f,f,f,c,n,b,t,?,k,s,p,p,p,w,o,e,w,v,l,poisonous
6618,f,s,n,f,s,f,c,n,b,t,?,s,s,p,w,p,w,o,e,w,v,p,poisonous
6619,f,y,e,f,s,f,c,n,b,t,?,s,s,w,w,p,w,o,e,w,v,d,poisonous
6620,x,s,n,f,f,f,c,n,b,t,?,k,s,p,w,p,w,o,e,w,v,d,poisonous
6621,x,s,e,f,s,f,c,n,b,t,?,k,k,w,p,p,w,o,e,w,v,d,poisonous
6622,x,s,e,f,y,f,c,n,b,t,?,k,k,w,w,p,w,o,e,w,v,l,poisonous
6623,f,s,e,f,f,f,c,n,b,t,?,k,s,p,p,p,w,o,e,w,v,p,poisonous
6624,x,y,e,f,s,f,c,n,b,t,?,s,k,w,w,p,w,o,e,w,v,p,poisonous
6625,x,s,n,f,y,f,c,n,b,t,?,s,k,p,w,p,w,o,e,w,v,d,poisonous
6626,x,s,e,f,s,f,c,n,b,t,?,s,k,w,p,p,w,o,e,w,v,l,poisonous
6627,x,s,e,f,y,f,c,n,b,t,?,s,k,w,p,p,w,o,e,w,v,l,poisonous
6628,x,s,n,f,y,f,c,n,b,t,?,s,k,w,p,p,w,o,e,w,v,d,poisonous
6629,x,s,n,f,s,f,c,n,b,t,?,k,s,p,w,p,w,o,e,w,v,l,poisonous
6630,f,s,e,f,y,f,c,n,b,t,?,s,s,p,p,p,w,o,e,w,v,d,poisonous
6631,f,y,e,f,f,f,c,n,b,t,?,k,s,w,w,p,w,o,e,w,v,d,poisonous
6632,x,s,n,f,s,f,c,n,b,t,?,k,s,w,w,p,w,o,e,w,v,d,poisonous
6633,x,s,e,f,f,f,c,n,b,t,?,k,k,p,p,p,w,o,e,w,v,l,poisonous
6634,f,s,n,f,s,f,c,n,b,t,?,k,s,w,p,p,w,o,e,w,v,l,poisonous
6635,x,s,n,f,f,f,c,n,b,t,?,s,k,p,w,p,w,o,e,w,v,d,poisonous
6636,f,s,e,f,y,f,c,n,b,t,?,k,s,p,w,p,w,o,e,w,v,d,poisonous
6637,k,y,n,f,y,f,c,n,b,t,?,s,k,w,p,p,w,o,e,w,v,p,poisonous
6638,x,s,n,f,y,f,c,n,b,t,?,s,k,p,p,p,w,o,e,w,v,l,poisonous
6639,f,y,n,f,y,f,c,n,b,t,?,k,s,w,p,p,w,o,e,w,v,p,poisonous
6640,k,y,n,f,y,f,c,n,b,t,?,k,s,w,p,p,w,o,e,w,v,p,poisonous
6641,f,s,e,f,s,f,c,n,b,t,?,k,s,w,w,p,w,o,e,w,v,d,poisonous
6642,f,s,n,f,f,f,c,n,b,t,?,k,k,p,w,p,w,o,e,w,v,p,poisonous
6643,x,s,e,f,y,f,c,n,b,t,?,s,k,w,p,p,w,o,e,w,v,d,poisonous
6644,x,s,n,f,f,f,c,n,b,t,?,s,s,p,p,p,w,o,e,w,v,l,poisonous
6645,f,y,n,f,y,f,c,n,b,t,?,k,s,p,p,p,w,o,e,w,v,p,poisonous
6646,f,y,n,f,s,f,c,n,b,t,?,s,k,p,w,p,w,o,e,w,v,p,poisonous
6647,x,s,e,f,y,f,c,n,b,t,?,s,s,w,w,p,w,o,e,w,v,l,poisonous
6648,f,y,n,f,y,f,c,n,b,t,?,k,s,w,w,p,w,o,e,w,v,l,poisonous
6649,x,y,e,f,s,f,c,n,b,t,?,s,s,p,w,p,w,o,e,w,v,p,poisonous
6650,f,y,n,f,y,f,c,n,b,t,?,k,k,w,w,p,w,o,e,w,v,l,poisonous
6651,f,y,e,f,s,f,c,n,b,t,?,k,s,w,w,p,w,o,e,w,v,p,poisonous
6652,x,y,e,f,f,f,c,n,b,t,?,k,s,p,w,p,w,o,e,w,v,l,poisonous
